sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
DiscoverRoutes,400,2735,518,7994,1578.3657514795964,0.0,0.364587938154948,1.9445247835486987,5461.49
FindPOIs,400,2445,240,8411,1643.7470265657519,0.0,0.3635953765211921,0.5976998459378216,1683.3125
SubscriberUserLogin,400,100730,377,977430,266596.0591758625,0.085,0.3631035916391767,0.2909704391692553,820.575
PlotWaypoint1,366,753,519,1727,156.30485934134956,0.0,0.3328625359577938,0.56755662869366,1746.0
PlotWaypoint2,366,150,107,232,23.50712923702945,0.0,0.3329836701532907,0.5674379925952074,1745.0
PlotWaypoint3,366,156,109,532,44.29841675247498,0.0,0.332967614805596,0.5638338321024449,1734.0
SaveRoute,366,5354,41,53249,8329.5012962192,0.03825136612021858,0.3328177386398667,0.5314796931165835,1635.2349726775956
PrintRoute,366,39110,43,786827,105792.09202935395,0.04918032786885246,0.19463871385290524,206.1633372040601,1084631.3825136612
TOTAL,3030,19480,41,977430,109058.14064548373,0.02178217821782178,1.6035699807465755,208.1118709981866,132895.07689768978
